r_returns,r_envelope,c_surr_mean,c_surr_std,gap,z,meta_pulse,group,tickers
0.4280934703119094,0.4676737922102421,0.007988753903207791,0.004590424340457754,0.4596850383070343,6.0,0.9955037268390589,CORE,"VUG, HUN, SKM, EIX, OR"
0.39277795385478764,0.41372339362517097,0.008133879198940016,0.0049750679148043795,0.4055895144262309,6.0,0.9955037268390589,CORE,"TRRNX, SHOO, FXI, QUAL, UNG"
0.53783910761264,0.53743075696676,0.00873482469103666,0.004993744815036851,0.5286959322757233,6.0,0.9955037268390589,CORE,"FNDX, VUG, PRWCX, ARKQ, FDS"
0.3286003860265075,0.35840854519620235,0.008628906819786805,0.005597642594374323,0.34977963837641557,6.0,0.9955037268390589,CORE,"ARKX, CTAS, GLNG, AIQ, BOIL"
0.3297831639928246,0.3233954522600373,0.008298445212935206,0.004516365676813841,0.3150970070471021,6.0,0.9955037268390589,CORE,"ET, PGX, DBA, IVV, SYPR"
0.35948956064640386,0.35581238678621246,0.008088969787790688,0.005552906117914414,0.3477234169984218,6.0,0.9955037268390589,CORE,"DSGR, PGX, STX, GME, VIGAX"
0.31782307808038784,0.2626711444689846,0.008042452113631821,0.004851291614886022,0.2546286923553528,6.0,0.9955037268390589,CORE,"ARKX, WDC, PRILX, TRRBX, ARKK"
0.47234330396279317,0.46607455437917156,0.007899274931729379,0.005569420701961614,0.4581752794474422,6.0,0.9955037268390589,CORE,"SPYG, AGNC, NGD, VTIP, ARCC"
0.42065316948832043,0.42504905724550857,0.008105189529741989,0.00557754050910085,0.4169438677157666,6.0,0.9955037268390589,CORE,"VNDA, FZROX, ARCC, VOO, SPYG"
0.42514468299523783,0.4411626442843982,0.008584199703468205,0.006639181416099179,0.43257844458093003,6.0,0.9955037268390589,CORE,"PPLT, DBA, MTUM, VFIAX, AL"
0.3818625431431758,0.40137643529130945,0.007295776861206902,0.0053765913544003485,0.39408065843010254,6.0,0.9955037268390589,CORE,"SIVR, ARKQ, EIX, PRWCX, TNET"
0.5413004399027249,0.5301346611251384,0.008523277592507966,0.005685496738552129,0.5216113835326305,6.0,0.9955037268390589,CORE,"SHOO, GTLS, VUG, FZROX, TRRDX"
0.4165775219689335,0.42168164175012757,0.008186817754112336,0.005749331915584448,0.4134948239960152,6.0,0.9955037268390589,CORE,"SHYG, PREIX, ARR, WCLD, IAU"
0.3670291626190229,0.4285215155429415,0.008958496685454993,0.004778861031258348,0.4195630188574865,6.0,0.9955037268390589,CORE,"HFFG, AGI, GLD, VTIP, VUG"
0.3129366198354338,0.2927550728978099,0.006945449229224502,0.005632921204403316,0.28580962366858537,6.0,0.9955037268390589,CORE,"SIVR, AGNC, EIX, SIRI, ARKK"
0.3724768441035134,0.4509754124489116,0.008692849186110784,0.005432848877196468,0.4422825632628008,6.0,0.9955037268390589,CORE,"COMT, BYDDF, LNG, OR, ITOT"
