state,ch_idx,SCI,gap,ch_name
mild,44,0.6894209378603613,0.04859574488864078,E59
mild,45,0.6959000778385918,0.05246969115352702,E60
mild,46,0.6936607741845903,0.05274556190454799,E61
mild,47,0.6814764233909147,0.05117892444280018,Pz
mild,48,0.6868657377844125,0.047213079740923244,E65
mild,49,0.6845629956711983,0.04843267767283528,E66
mild,50,0.6806804600062748,0.049597259135351526,E67
mild,51,0.6662657812372431,0.04261828554726781,O1
mild,52,0.6666942093922243,0.045299238508963724,E71
mild,53,0.6675309680716593,0.04677032217746118,E72
mild,54,0.6601158398967927,0.040684318822734565,Oz
mild,55,0.6544295630441049,0.04213266805787301,E76
mild,56,0.6591403084281416,0.04411960772167607,E77
mild,57,0.6707158631476272,0.04695933642458715,E78
mild,58,0.7046451653294055,0.05512691933746554,E79
mild,59,0.7234703472352535,0.0591045884399838,E80
mild,60,0.6619241895101926,0.0421934223757749,O2
mild,61,0.6666146614281291,0.04523686395658857,E84
mild,62,0.6704658840767579,0.04664595192751721,E85
mild,63,0.7104999800919481,0.05713401878526488,E86
mild,64,0.7259811736000896,0.06087017478530141,E87
mild,65,0.6885825541330406,0.04831876181229189,E90
mild,66,0.693912351999952,0.0512257705489327,E91
mild,67,0.7233691364471986,0.06144087623588661,P4
mild,68,0.7372104062871179,0.06576121769587476,E93
mild,69,0.71513251985526,0.05843805800827132,T6
mild,70,0.7015730624088905,0.053970247189799356,E97
mild,71,0.7334393640101313,0.06265103101639244,E98
mild,72,0.7017350040824489,0.053528950010194844,E101
mild,73,0.7186897617282526,0.05969045892940086,E102
mild,74,0.7288582816455531,0.06100699025939303,E103
mild,75,0.727676493549877,0.06099680477634424,C4
mild,76,0.7220184966717729,0.0587857555729399,E105
mild,77,0.7230479498729236,0.05919153817647692,E106
mild,78,0.7169409296335303,0.05958479793822637,T4
mild,79,0.7161190464452162,0.057842981830263596,E109
mild,80,0.7219147862007295,0.059819574048456226,E110
mild,81,0.7198232657364272,0.059351610459338996,E111
mild,82,0.7098787506182421,0.055487480989210136,E112
mild,83,0.719677367011807,0.057912154762701694,E116
mild,84,0.7122411835610237,0.055813762623493766,E117
mild,85,0.7202891325645686,0.06005792531397641,E118
mild,86,0.7289088089255126,0.06292478343635902,F8
mild,87,0.7141613302542293,0.05642714830088752,E123
mild,88,0.7376657683100591,0.06389720841327803,F4
mild,89,0.7339959852176076,0.06335424583044012,E115
mild,90,0.7100403999328908,0.055993493396254736,Cz
moderate,0,0.8217950121721003,0.09170172579336001,E2
moderate,1,0.8331005268925324,0.09849751530866498,E3
