subject,state,c_obs,c_surr_mean,c_surr_std,gap,z,SCI
23,recovery,0.7341770621354659,0.6958953753691394,0.04379934561505728,0.03828168676632653,0.8854371721812516,0.643065140054951
24,baseline,0.7163600551602508,0.621233871707668,0.04442107158603242,0.09512618345258282,2.103126545873195,0.8097007062311741
24,mild,0.729320106871906,0.7231003169903552,0.04265132286975868,0.006219789881550793,0.11575833944717501,0.5121463927636518
24,moderate,0.7272994986324631,0.6453077669222127,0.04319492722752212,0.08199173171025052,1.9972791085962411,0.8020856524791063
24,recovery,0.6849783278083661,0.6519127480574881,0.04129928332939195,0.03306557975087807,0.8072532101108154,0.6417964565168907
25,baseline,0.685551312579977,0.5908049997097262,0.046372276909885164,0.09474631287025068,2.1030393520621486,0.8211489105495121
25,mild,0.6699081686385693,0.5843726908371841,0.04434348427399707,0.08553547780138501,1.9348150087547447,0.7966560850994431
25,moderate,0.7675940861671111,0.6366037139079282,0.041334469110729216,0.1309903722591828,3.184977205852748,0.918777621388068
25,recovery,0.6992525326254353,0.592377098353383,0.044085629848101285,0.1068754342720522,2.4887105892026953,0.8448764068057851
26,baseline,0.6977046855111598,0.6107902585115349,0.04322875823488837,0.08691442699962497,2.044796954172882,0.824631002035393
26,mild,0.6938421886243523,0.6078996567443937,0.04301873099687742,0.08594253187995857,1.9945403133771027,0.7755510936342073
26,moderate,0.7533147592855207,0.623881982835901,0.04148764173531295,0.12943277644961973,3.1348860940599206,0.8926163866371354
26,recovery,0.6741358188319624,0.645384354983269,0.040033517324403016,0.028751463848693284,0.7101012170918203,0.6314335140603771
27,baseline,0.7217845920432954,0.652374821063603,0.04085355471712857,0.06940977097969232,1.7010396226834426,0.7699886254342858
27,mild,0.6857695754394988,0.6415060328710898,0.042700416663354855,0.04426354256840904,1.0331094032655788,0.6624004099114809
27,moderate,0.8181599971884027,0.6472989307279461,0.04797501952212695,0.1708610664604566,3.555575942283558,0.9401619817673875
27,recovery,0.7184628137638098,0.6643868268361618,0.03977000123038486,0.05407598692764803,1.3756634588323888,0.7281889722125567
28,baseline,0.7326452758111772,0.645619180618117,0.04454550926777996,0.08702609519306033,1.981421950562473,0.8062165253711446
28,mild,0.6892332551935649,0.6565420116016115,0.04569458018568965,0.032691243591953266,0.7149002082677012,0.6310642220052751
28,moderate,0.7021807309940343,0.6435248201815696,0.04589832709052263,0.05865591081246468,1.3150440572669735,0.7226617835399445
28,recovery,0.7326771083565023,0.6717292098426597,0.042880294685923206,0.06094789851384266,1.4302251119268787,0.7269763055211386
29,baseline,0.704164425771105,0.644808173823247,0.04453120213571001,0.059356251947858076,1.3422237956600247,0.7344960351384623
29,mild,0.7041965759933041,0.6693078546256276,0.04456388776040982,0.03488872136767647,0.7963812482764612,0.6554343990425242
29,moderate,0.6441002283453242,0.6004934787536936,0.04373813091778073,0.0436067495916306,1.0112289599407038,0.6806890247502896
29,recovery,0.6910833663386784,0.6528832065444413,0.04430264042289489,0.038200159794237104,0.8266553545625309,0.6542048576569973
