date,core,tactical,ineligible,n_instruments
2012-10-31,0.2826510721247563,0.15886939571150097,0.3284600389863548,1026
2012-11-30,0.23346303501945526,0.188715953307393,0.36770428015564205,1028
2012-12-31,0.3592233009708738,0.14466019417475728,0.30097087378640774,1030
2013-01-31,0.34648700673724736,0.15591915303176132,0.3012512030798845,1039
2013-02-28,0.21174205967276227,0.1944177093358999,0.45139557266602504,1039
2013-03-29,0.16026871401151632,0.1746641074856046,0.5374280230326296,1042
2013-04-30,0.16921606118546845,0.14053537284894838,0.5669216061185468,1046
2013-05-31,0.24571428571428572,0.16285714285714287,0.42952380952380953,1050
2013-06-28,0.3619047619047619,0.14095238095238094,0.30952380952380953,1050
2013-07-31,0.3118483412322275,0.16398104265402844,0.33649289099526064,1055
2013-08-30,0.31379962192816635,0.1323251417769376,0.391304347826087,1058
2013-09-30,0.2855796418473139,0.16682375117813383,0.37134778510838834,1061
2013-10-31,0.15145813734713076,0.18250235183443086,0.522107243650047,1063
2013-11-29,0.1583880037488285,0.15651358950328023,0.5126522961574508,1067
2013-12-31,0.17150890346766634,0.17432052483598875,0.5117150890346767,1067
2014-01-31,0.15069767441860465,0.2027906976744186,0.4790697674418605,1075
2014-02-28,0.2962962962962963,0.18518518518518517,0.3194444444444444,1080
2014-03-31,0.3601108033240997,0.14219759926131118,0.31948291782086796,1083
2014-04-30,0.2878228782287823,0.1466789667896679,0.3145756457564576,1084
2014-05-30,0.24953959484346225,0.17955801104972377,0.3720073664825046,1086
2014-06-30,0.3467889908256881,0.13577981651376148,0.3211009174311927,1090
2014-07-31,0.3521897810218978,0.145985401459854,0.33211678832116787,1096
2014-08-29,0.2422867513611615,0.18330308529945555,0.3738656987295826,1102
2014-09-30,0.26763110307414106,0.1717902350813743,0.40687160940325495,1106
2014-10-31,0.5734896302975654,0.11181244364292155,0.1623083859332732,1109
2014-11-28,0.5897204688908927,0.1073038773669973,0.18304779080252478,1109
2014-12-31,0.4780269058295964,0.13004484304932734,0.21704035874439462,1115
2015-01-30,0.32439678284182305,0.1447721179624665,0.3574620196604111,1119
2015-02-27,0.30604982206405695,0.16548042704626334,0.35231316725978645,1124
2015-03-31,0.21225577264653642,0.16074600355239788,0.4786856127886323,1126
2015-04-30,0.2724046140195209,0.18544809228039041,0.354924578527063,1127
2015-05-29,0.2178919397697077,0.19486271036315322,0.3985828166519043,1129
2015-06-30,0.21131741821396993,0.16534040671971706,0.4447391688770999,1131
2015-07-31,0.22378854625550662,0.16387665198237886,0.4440528634361233,1135
2015-08-31,0.2849604221635884,0.1785400175901495,0.2955145118733509,1137
2015-09-30,0.5547765118317266,0.10604732690622261,0.2042068361086766,1141
2015-10-30,0.3502183406113537,0.14585152838427948,0.3318777292576419,1145
2015-11-30,0.31615720524017465,0.15982532751091702,0.3414847161572052,1145
2015-12-31,0.2569686411149826,0.1559233449477352,0.4268292682926829,1148
2016-01-29,0.28062554300608167,0.14596003475238922,0.38748913987836664,1151
2016-02-29,0.46187175043327555,0.13344887348353554,0.255632582322357,1154
2016-03-31,0.5207972270363952,0.12218370883882149,0.1949740034662045,1154
2016-04-29,0.634315424610052,0.1048526863084922,0.134315424610052,1154
2016-05-31,0.5363951473136915,0.12564991334488734,0.2019064124783362,1154
2016-06-30,0.15771230502599654,0.18370883882149047,0.5043327556325823,1154
2016-07-29,0.1733102253032929,0.22530329289428075,0.41161178509532065,1154
